Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.08756907318388067;0.08733246477080432;0.08862732178245004;0.08749619379926223;0.08797639905955644;0.08743130119651976;0.08854945065915909;0.08841966545367418;0.0880402933145644;0.087871572547434
blocking probability;2;all;all;all; ;0.10521087600021964;0.10284778691265954;0.10365445188213507;0.1044421482446551;0.10290768777672951;0.1042654406956487;0.10428041591166619;0.10338190295061674;0.10373931143956752;0.1032750797430253
blocking probability;3;all;all;all; ;0.11897509621576291;0.11888923831059596;0.11947327173527811;0.11858973399024614;0.11878541014620803;0.11943733121683614;0.12027194992287764;0.11939240556878367;0.11956811477005556;0.1195042205150476
blocking probability;4;all;all;all; ;0.13345113836600425;0.13289705537335708;0.13307476127009799;0.1332424836894939;0.13371170712470862;0.13331636142184686;0.1335629533122682;0.1335689433986752;0.13300687362415203;0.1333692738517753
blocking probability;5;all;all;all; ;0.14699372538448868;0.1473072065731215;0.14758474724331233;0.14767060514847927;0.14691186087025973;0.1474240132580579;0.14768657871223126;0.14783034078599916;0.14640270352566503;0.14717841971537107


blocking probability fragmentation;1;all;all;all; ;0.00572452590961958;0.005777438339548048;0.005962132670430438;0.005771448253141052;0.005721530866416081;0.005844327637759508;0.005715540780009085;0.005789418512362041;0.00595813927949244;0.005818370596662524
blocking probability fragmentation;2;all;all;all; ;0.007807079283785335;0.007697261032990401;0.007728209812759883;0.0075844477389919686;0.007701254423928399;0.007744183376511873;0.0075125667021080115;0.007705247814866396;0.0077202230308838875;0.007568474175239977
blocking probability fragmentation;3;all;all;all; ;0.00957215807838028;0.009794789623173648;0.009695953197458206;0.009731893715900185;0.009696951545192706;0.009878650832871597;0.009647034158467736;0.009876654137402598;0.009810763186925638;0.009585136598928772
blocking probability fragmentation;4;all;all;all; ;0.012022103418841816;0.011559868417768593;0.011756542921464976;0.011572846938317085;0.012024100114310815;0.012111954714946763;0.011855379347180416;0.011754546225995977;0.011940238904612866;0.011904298386170888
blocking probability fragmentation;5;all;all;all; ;0.013700325960535314;0.014252412257713485;0.014079698099645087;0.013771208649684771;0.013726283001632299;0.014124623747697561;0.014284359385217466;0.013850078120710225;0.013968881501115653;0.014172544438953532


blocking probability per QoT;1;all;all;all; ;0.061179747517857944;0.061428336103748295;0.0620952323903939;0.061142808651681466;0.061552131222826226;0.061166768997309454;0.062090240651721404;0.062114200997349385;0.06114181030394697;0.0615910667844717
blocking probability per QoT;2;all;all;all; ;0.07165541029596019;0.07060415013153232;0.07077386924639721;0.07095257349087261;0.07025672511992652;0.07122013068371845;0.07114725129909999;0.0706360972590363;0.07076388576905222;0.07024374659937803
blocking probability per QoT;3;all;all;all; ;0.07880158337950692;0.07923386794854516;0.07957130948280595;0.0786668064353495;0.07864184774198701;0.07929376881261513;0.07954435409397448;0.07904118683578677;0.07938362010872006;0.0791829522140857
blocking probability per QoT;4;all;all;all; ;0.0858439282986657;0.0855234586758914;0.0858509167328072;0.08581697290983423;0.08643495015748935;0.08532578582446051;0.08617937313745751;0.08600665897938911;0.08566722074965931;0.08604559454103458
blocking probability per QoT;5;all;all;all; ;0.09230523483634585;0.09240906300073379;0.0927205474938976;0.09244700021464476;0.09244999525784826;0.0922083951060994;0.09261272593857166;0.09259475567935067;0.09190090400387359;0.09211255372358747


blocking probability per QoT for other;1;all;all;all; ;0.004972770065541528;0.004626343401670236;0.0051594610918929175;0.00475413191168616;0.004962786588196535;0.004655295485970719;0.004673265745191708;0.004906879115064568;0.005245318997059866;0.0049867469338245205
blocking probability per QoT for other;2;all;all;all; ;0.004874931987560587;0.004471599502822828;0.004630336792608233;0.005073603186725968;0.004895897289985075;0.004738158347934169;0.005207381783148888;0.004748141825279163;0.004860955119277596;0.005047646145628984
blocking probability per QoT for other;3;all;all;all; ;0.0046662773110502116;0.0046682740065192106;0.00492085598334756;0.004830006339508114;0.005129510659857935;0.004812036080287125;0.005147480919078924;0.00491985763561306;0.004862951814746595;0.00522235699916638
blocking probability per QoT for other;4;all;all;all; ;0.004924849374285558;0.005878271460732488;0.005125517268919937;0.005134502398530432;0.0050236858000009986;0.00505463457977048;0.005078594925398466;0.00522235699916638;0.004972770065541528;0.004913867549206064
blocking probability per QoT for other;5;all;all;all; ;0.005095566836884956;0.005006713888514509;0.004999725454373012;0.005450978630366743;0.005499897669357214;0.005063619709380974;0.0055068861034987095;0.0049827535428865226;0.004751136868482661;0.004977761804214026


blocking probability per other;1;all;all;all; ;0.015692029690861625;0.015500346925837738;0.015410495629732792;0.015827804982753543;0.015739950382117597;0.01576490907548008;0.016070403482236897;0.015609166828898173;0.015695024734065123;0.015475388232475254
blocking probability per other;2;all;all;all; ;0.020873454432913528;0.020074776245314004;0.02052203603036974;0.020831523828064552;0.020053810942889518;0.020562968287484214;0.020413216127309303;0.020292416051434874;0.020394247520353813;0.020415212822778302
blocking probability per other;3;all;all;all; ;0.025935077446825505;0.025192306732357946;0.025285153071666393;0.025361027499488348;0.025317100199170373;0.02545287549106229;0.025933080751356506;0.02555470695998123;0.02551077965966326;0.025513774702866754
blocking probability per other;4;all;all;all; ;0.03066025727421118;0.029935456818964614;0.030341784346905872;0.030718161442812145;0.03022897105290744;0.030823986302669082;0.030449605902231808;0.030585381194123726;0.03042664390433832;0.030505513375363773
blocking probability per other;5;all;all;all; ;0.03589259775072255;0.03563901742615971;0.03578477619539662;0.03600141765378299;0.035235684941421944;0.036027374694879974;0.03528260728494342;0.03640275344305175;0.03578178115219312;0.035915559748616044


blocking probability per lack of transponder;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability per lack of transmitters;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probabilities per pair;1;all;13;12; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.512679162072767E-4;0.0
blocking probabilities per pair;1;all;18;23; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;19;8; ;0.27008086253369273;0.2686733556298774;0.25424688561721404;0.278814489571899;0.271279516749039;0.25153374233128833;0.26020137784843667;0.26519337016574585;0.26788685524126454;0.24751381215469614
blocking probabilities per pair;1;all;18;20; ;0.016255605381165918;0.015167930660888408;0.013953488372093023;0.01762114537444934;0.015469613259668509;0.02200751476113795;0.02176278563656148;0.01639344262295082;0.018262313226342003;0.018712162905888827
blocking probabilities per pair;1;all;10;14; ;0.0027979854504756574;0.005005561735261402;0.0064516129032258064;0.004395604395604396;0.0037154989384288748;0.005564830272676683;0.004357298474945534;0.002220988339811216;0.0027397260273972603;0.0055248618784530384
blocking probabilities per pair;1;all;12;3; ;0.15022675736961452;0.137546468401487;0.1352082206598161;0.15896589658965896;0.1411111111111111;0.14026666666666668;0.1454248366013072;0.1514161220043573;0.15698924731182795;0.16994935284186832
blocking probabilities per pair;1;all;12;16; ;0.011025358324145534;0.013022246337493217;0.01551246537396122;0.011538461538461539;0.01674364896073903;0.011574074074074073;0.010238907849829351;0.015503875968992248;0.00963718820861678;0.011068068622025456
blocking probabilities per pair;1;all;20;1; ;0.015774647887323943;0.015570934256055362;0.01648936170212766;0.021606648199445983;0.018150879183210438;0.018920422927100722;0.023681377825618945;0.01658640984483681;0.019823788546255508;0.018282548476454295
blocking probabilities per pair;1;all;4;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;19;6; ;5.350454788657035E-4;0.0010799136069114472;0.0;5.534034311012728E-4;5.512679162072767E-4;0.0011487650775416428;5.52791597567717E-4;5.52791597567717E-4;0.0;5.47645125958379E-4
blocking probabilities per pair;1;all;13;8; ;0.002763957987838585;0.0027412280701754384;0.004050925925925926;0.0016163793103448276;0.004449388209121246;0.004561003420752566;0.003416856492027335;0.003808487486398259;0.0;0.002197802197802198
blocking probabilities per pair;1;all;2;10; ;0.13119216113228088;0.11647254575707154;0.12170499158721257;0.11154058531198233;0.1400214592274678;0.12727272727272726;0.12679045092838195;0.13292547274749722;0.12243797195253506;0.12071778140293637
blocking probabilities per pair;1;all;12;1; ;0.09306167400881057;0.11600928074245939;0.09933407325194228;0.09326710816777042;0.10314396028681742;0.10005589714924538;0.09203444564047362;0.09725274725274725;0.1013550135501355;0.09891891891891892
blocking probabilities per pair;1;all;12;5; ;0.15742208135235078;0.16056034482758622;0.15487179487179487;0.16439135381114903;0.17191011235955056;0.15931108719052745;0.1634132738427217;0.15633571036752605;0.1789015769439913;0.1596774193548387
blocking probabilities per pair;1;all;18;17; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;5.55247084952804E-4;0.0;0.0;5.678591709256105E-4;5.624296962879641E-4;0.0;0.0
blocking probabilities per pair;1;all;7;13; ;0.22383073496659242;0.24514285714285713;0.23615635179153094;0.250936329588015;0.23385300668151449;0.23180291153415453;0.23684210526315788;0.22936824132043254;0.23098751418842225;0.2327113062568606
blocking probabilities per pair;1;all;22;1; ;0.3425261996690568;0.327212020033389;0.3439273552780931;0.32845894263217096;0.34963196635120924;0.3533588203167668;0.3504618937644342;0.36688668866886687;0.3475138121546961;0.34849315068493153
blocking probabilities per pair;1;all;22;19; ;0.00564652738565782;0.005851063829787234;0.006034009873834339;0.008291873963515755;0.007186290768380321;0.006688963210702341;0.003432494279176201;0.005039193729003359;0.008898776418242492;0.0016
blocking probabilities per pair;1;all;2;9; ;0.031011969532100107;0.036585365853658534;0.0296767355590885;0.035838150289017344;0.04034427111350188;0.0386058981233244;0.03242955874534822;0.029459901800327332;0.033962264150943396;0.031573217201959713
blocking probabilities per pair;1;all;5;19; ;0.2902519167579409;0.27377049180327867;0.3019775521111705;0.2874186550976139;0.29198266522210187;0.28886376483889203;0.28610653487095;0.2711386696730552;0.2808181315644002;0.2981878088962109
blocking probabilities per pair;1;all;11;10; ;0.031091011871113624;0.02600216684723727;0.02945902517407606;0.03997779011660189;0.031073446327683617;0.03590285110876452;0.03496115427302997;0.02774694783573807;0.036305392418579815;0.026419336706014616
blocking probabilities per pair;1;all;13;23; ;0.009454949944382647;0.008422234699606962;0.005945945945945946;0.010775862068965518;0.0028296547821165816;0.008893829905503057;0.006362672322375398;0.009294696555494806;0.006900517538815411;0.006745362563237774
blocking probabilities per pair;1;all;23;3; ;0.3883333333333333;0.395413870246085;0.41414686825054;0.38913282107574093;0.40107816711590294;0.4213421342134213;0.40032414910858993;0.4014238773274918;0.3920515574650913;0.40997830802603036
blocking probabilities per pair;1;all;10;2; ;0.03055100927441353;0.03473389355742297;0.029069767441860465;0.04097924427887174;0.03742751713231418;0.03791982665222102;0.039934354485776806;0.03427959292983396;0.03653738055087127;0.03919372900335946
blocking probabilities per pair;1;all;16;15; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;14; ;0.25295774647887326;0.26256352343308864;0.26464088397790053;0.2711229946524064;0.25929919137466306;0.25306838106370544;0.27595628415300544;0.27442827442827444;0.27816091954022987;0.2645234066553864
blocking probabilities per pair;1;all;4;16; ;0.32889628397115916;0.32882882882882886;0.355084284937466;0.3487486398258977;0.33553719008264465;0.348380244291025;0.32685904550499445;0.34930032292787944;0.346927374301676;0.3435241801000556
blocking probabilities per pair;1;all;6;15; ;0.03457590491626148;0.03121387283236994;0.03254274682846112;0.024774774774774775;0.029428095502498614;0.03936577364680153;0.03312745648512072;0.03972088030059045;0.041225626740947076;0.03667621776504298
blocking probabilities per pair;1;all;10;23; ;0.057400112549240295;0.058759521218716;0.05309734513274336;0.06157112526539278;0.05234460196292257;0.058394160583941604;0.06712839637719765;0.04656319290465632;0.0594059405940594;0.04626532887402453
blocking probabilities per pair;1;all;15;5; ;0.38126009693053314;0.38393839383938394;0.36963350785340315;0.39664502164502163;0.3712079426365141;0.3808988764044944;0.37072349971957375;0.4023542001070091;0.3850056369785795;0.4088120468488567
blocking probabilities per pair;1;all;22;10; ;0.013579576317218903;0.017925040738728953;0.020890599230346345;0.01566871852266368;0.015143320713899405;0.012008733624454149;0.017897091722595078;0.012534059945504087;0.014657980456026058;0.017640573318632856
blocking probabilities per pair;1;all;17;21; ;0.0032258064516129032;0.004171011470281543;0.0044994375703037125;0.0022459292532285235;0.0037817396002160996;0.003303964757709251;0.002165674066053059;0.006207674943566591;0.002243409983174425;0.0032555615843733042
blocking probabilities per pair;1;all;21;7; ;0.23793490460157127;0.22868006518196632;0.23783185840707965;0.23966065747614;0.25217864923747274;0.24002217294900222;0.23085585585585586;0.2209502003434459;0.22077922077922077;0.22968397291196388
blocking probabilities per pair;1;all;23;11; ;0.00667779632721202;0.009409304756926294;0.00823271130625686;0.005518763796909493;0.008958566629339306;0.01002227171492205;0.005506607929515419;0.012161415146489774;0.011885467314964884;0.011686143572621035
blocking probabilities per pair;1;all;21;4; ;0.37142857142857144;0.36688668866886687;0.3722627737226277;0.3783638320775027;0.3949152542372881;0.3705114254624592;0.39912996193583467;0.36217087587318647;0.38474114441416896;0.38400900900900903
blocking probabilities per pair;1;all;17;5; ;0.017876489707475622;0.026628895184135977;0.023013698630136987;0.018776824034334765;0.022828507795100223;0.026881720430107527;0.019438444924406047;0.018599562363238512;0.03161397670549085;0.019553072625698324
blocking probabilities per pair;1;all;15;21; ;0.002777777777777778;0.0049126637554585155;0.004904632152588556;0.0033519553072625698;0.0038975501113585748;0.00331858407079646;0.004947773501924134;0.005470459518599562;0.0037858301784748512;0.009719222462203024
blocking probabilities per pair;1;all;24;13; ;0.003919372900335946;0.0038356164383561643;0.0032240730789897904;0.00511654349061967;0.003812636165577342;0.0028169014084507044;0.00387382401770891;0.0060406370126304225;0.003181336161187699;0.005942733657482442
blocking probabilities per pair;1;all;2;12; ;0.10423452768729642;0.1015583019881784;0.09754738015607581;0.0858416945373467;0.09928688974218322;0.09226519337016574;0.08649225840896957;0.09968017057569296;0.09840895698291102;0.0957041870581838
blocking probabilities per pair;1;all;11;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;20;9; ;0.17922497308934338;0.1844331641285956;0.17413499716392514;0.18859649122807018;0.1755641166758393;0.1867638810992709;0.17653569452130602;0.1930996104618809;0.18501170960187355;0.18551532033426185
blocking probabilities per pair;1;all;16;6; ;0.17177242888402625;0.17233686558839934;0.18005249343832022;0.16362631288004423;0.1747945205479452;0.18013856812933027;0.18551042810098792;0.16585365853658537;0.16969050160085378;0.1746556473829201
blocking probabilities per pair;1;all;20;2; ;0.022841225626740947;0.017973856209150325;0.018538713195201745;0.01530891197375615;0.018140589569160998;0.019157088122605363;0.013734812466983624;0.02157079646017699;0.024089935760171308;0.016030956329463792
blocking probabilities per pair;1;all;2;16; ;0.26495726495726496;0.2727272727272727;0.2976457399103139;0.28440860215053765;0.26426264800861143;0.28172163219675794;0.2641609317098994;0.2857929515418502;0.2688629117959617;0.2886540600667408
blocking probabilities per pair;1;all;16;17; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;20;4; ;0.4316546762589928;0.43638392857142855;0.4509594882729211;0.4147945205479452;0.4545954870665933;0.42437923250564336;0.4312849162011173;0.4335548172757475;0.4305555555555556;0.43200436919716
blocking probabilities per pair;1;all;18;13; ;0.002205071664829107;0.0010787486515641855;0.0016574585635359116;0.0010970927043335162;0.0011280315848843769;0.0022222222222222222;0.0016411378555798686;0.0022358859698155395;0.0011337868480725624;0.001692047377326565
blocking probabilities per pair;1;all;7;2; ;0.0;0.0;0.0;0.0;0.0;5.46448087431694E-4;0.0;5.417118093174431E-4;5.546311702717693E-4;0.0
blocking probabilities per pair;1;all;12;15; ;0.02278893109061313;0.018479408658922915;0.02702702702702703;0.023605150214592276;0.020318506315211423;0.027733333333333332;0.026525198938992044;0.026857142857142857;0.023168103448275863;0.02278893109061313
blocking probabilities per pair;1;all;1;6; ;0.006734006734006734;0.005743825387708214;0.010138740661686232;0.008658008658008658;0.009615384615384616;0.008205689277899343;0.007061379684953829;0.008658008658008658;0.008324084350721421;0.011563876651982379
blocking probabilities per pair;1;all;14;16; ;0.05056179775280899;0.053231939163498096;0.05051078320090806;0.06614785992217899;0.05809575040344271;0.05472901168969182;0.047857540345019475;0.05925925925925926;0.05078125;0.05366416618580496
blocking probabilities per pair;1;all;11;15; ;5.614823133071309E-4;0.0;0.0016;0.0010678056593699946;0.001038961038961039;5.402485143165856E-4;5.574136008918618E-4;5.402485143165856E-4;5.425935973955507E-4;0.0
blocking probabilities per pair;1;all;2;24; ;0.2845303867403315;0.28820224719101123;0.3010869565217391;0.2851731601731602;0.27258566978193144;0.2840646651270208;0.29157549234135666;0.2944078947368421;0.29875742841707187;0.27684563758389263
blocking probabilities per pair;1;all;15;24; ;0.001119194180190263;0.0027901785714285715;0.002124269782262347;0.0016172506738544475;0.0021727322107550242;0.0034924330616996507;0.004004576659038902;0.0016939582156973462;0.0032502708559046588;0.002828054298642534
blocking probabilities per pair;1;all;11;1; ;5.488474204171241E-4;0.0020335536349771225;5.747126436781609E-4;0.0011013215859030838;0.0027917364600781687;0.002763957987838585;0.0011448196908986834;0.0017523364485981308;0.0016685205784204673;5.691519635742744E-4
blocking probabilities per pair;1;all;7;20; ;0.18403908794788273;0.18166939443535188;0.20378151260504201;0.19002242152466367;0.19287330316742082;0.18186936936936937;0.1944595328625747;0.18117519042437433;0.2117191818684356;0.19444444444444445
blocking probabilities per pair;1;all;11;20; ;0.002774694783573807;0.0028457598178713715;0.001076426264800861;0.0032912781130005485;0.0028216704288939053;0.0026896180742334587;0.004893964110929853;0.0017006802721088435;0.003418803418803419;0.0027609055770292656
blocking probabilities per pair;1;all;13;18; ;0.0017123287671232876;0.004568817818389492;5.561735261401557E-4;0.0027624309392265192;0.00170261066969353;0.002680965147453083;0.002824858757062147;0.0011166945840312675;0.001693002257336343;0.0033277870216306157
blocking probabilities per pair;1;all;13;7; ;0.17052512704686618;0.16068470458310327;0.19808666291502533;0.1734806629834254;0.18824194460146976;0.1811713191023536;0.17593643586833144;0.17577464788732394;0.17139677239844184;0.17643805309734514
blocking probabilities per pair;1;all;16;18; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;13;10; ;5.595970900951316E-4;0.0;5.485463521667581E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;9;1; ;0.003932584269662922;0.003134796238244514;0.005470459518599562;0.006600660066006601;0.007816862088218872;0.003988603988603989;0.004415011037527594;0.0038419319429198683;0.0034423407917383822;0.0039149888143176735
blocking probabilities per pair;1;all;5;14; ;0.016967706622879036;0.023567220139260846;0.02356020942408377;0.0281615302869288;0.022172949002217297;0.02280130293159609;0.027855153203342618;0.022535211267605635;0.0255863539445629;0.028026905829596414
blocking probabilities per pair;1;all;12;18; ;0.010198604401502952;0.008483563096500531;0.010565240359218173;0.010072747621712367;0.00825536598789213;0.013121924548933843;0.010133333333333333;0.006010928961748634;0.008576329331046312;0.008639308855291577
blocking probabilities per pair;1;all;24;11; ;0.008556759840273816;0.009625668449197862;0.007675438596491228;0.0065609622744669215;0.007226236798221234;0.012114537444933921;0.013023782559456399;0.004471771939631079;0.01152073732718894;0.008465011286681716
blocking probabilities per pair;1;all;24;21; ;0.006568144499178982;0.002185792349726776;0.005274261603375527;0.003995433789954338;0.0026838432635534087;0.006386375731772219;0.0035566093657379964;0.005387931034482759;0.005067567567567568;0.0027839643652561247
blocking probabilities per pair;1;all;12;8; ;0.011738401341531582;0.012485811577752554;0.011332973556395036;0.011924119241192412;0.012600229095074456;0.015932023366967606;0.012263099219620958;0.010165864098448368;0.00934065934065934;0.01023308698123934
blocking probabilities per pair;1;all;3;21; ;0.3545002760905577;0.350808700501952;0.33108487914558743;0.34673366834170855;0.36182019977802443;0.34231200897867564;0.33865638766519823;0.337248322147651;0.33315392895586654;0.3453837597330367
blocking probabilities per pair;1;all;13;22; ;0.01675977653631285;0.012756516916250694;0.013865779256794232;0.012152777777777778;0.012575177692728267;0.012143611404435059;0.01665741254858412;0.011705685618729096;0.012514220705346985;0.01288515406162465
blocking probabilities per pair;1;all;18;10; ;0.002277904328018223;0.002135611318739989;0.003757380568974772;0.002730748225013654;0.005339028296849973;5.50357732526142E-4;0.004805125467164976;0.0038888888888888888;0.0027114967462039045;0.001664816870144284
blocking probabilities per pair;1;all;1;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;12;20; ;0.0718803910293272;0.0626048071548351;0.06327744726879395;0.07804604154969118;0.06538895152198422;0.06626506024096386;0.08181315644002211;0.09430979978925184;0.06270096463022508;0.07734503565551289
blocking probabilities per pair;1;all;8;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;17;8; ;0.019230769230769232;0.022982362373062535;0.015651201788708775;0.017014270032930844;0.013079019073569483;0.024277456647398842;0.01991798476859988;0.017191977077363897;0.020179372197309416;0.022234574763757644
blocking probabilities per pair;1;all;2;1; ;0.004779607010090282;0.003309431880860452;0.0043980208905992305;0.004891304347826087;0.00331858407079646;0.0011527377521613833;0.0022484541877459247;0.0034562211981566822;0.0049126637554585155;0.006090808416389812
blocking probabilities per pair;1;all;17;15; ;0.005076142131979695;0.006107717934480844;0.00395703787450537;0.004841312533620226;0.006618863761720904;0.006179775280898876;0.002178649237472767;0.006148686416992733;0.004899292324442025;0.0050195203569436695
blocking probabilities per pair;1;all;14;13; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;17;14; ;0.004931506849315068;0.002277904328018223;0.002733734281027884;0.0016233766233766235;0.001652892561983471;0.002233389168062535;0.0027100271002710027;0.0031628887717448603;0.003928170594837262;0.004439511653718091
blocking probabilities per pair;1;all;14;15; ;0.05429625724828677;0.0823463056965595;0.08241150442477876;0.06025369978858351;0.07048458149779736;0.07480314960629922;0.07218212104386452;0.07319641916798315;0.07065217391304347;0.0681063122923588
blocking probabilities per pair;1;all;13;19; ;0.07958852192744992;0.07995678011885467;0.08034682080924856;0.06239737274220033;0.06670467502850627;0.07018498367791078;0.07664041994750656;0.06637884511602807;0.07036833424958769;0.07384786229872294
blocking probabilities per pair;1;all;1;7; ;0.014046461372231226;0.013542795232936078;0.01414027149321267;0.011278195488721804;0.018619934282584884;0.01751505199781062;0.014549524342473419;0.015342465753424657;0.014084507042253521;0.00776914539400666
blocking probabilities per pair;1;all;7;10; ;0.07988980716253444;0.08108108108108109;0.09141274238227147;0.08351648351648351;0.07906215921483097;0.07439353099730459;0.07789358200767965;0.08204845814977973;0.0784;0.07623318385650224
blocking probabilities per pair;1;all;18;24; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;19;13; ;0.017400204708290685;0.022811671087533156;0.020685900925421885;0.018368449486763912;0.027180067950169876;0.01839464882943144;0.024321266968325792;0.023915461624026697;0.02711864406779661;0.020844761382336808
blocking probabilities per pair;1;all;8;19; ;0.2714132762312634;0.27624929814710836;0.29490022172949004;0.28015350877192985;0.28041714947856317;0.2985884907709012;0.30489192263936293;0.2670299727520436;0.27948574622694244;0.28938547486033517
blocking probabilities per pair;1;all;7;14; ;0.14456521739130435;0.1386530843237125;0.1629908552985476;0.13841022790439134;0.14394350896252037;0.14285714285714285;0.13699360341151387;0.1415830546265329;0.15045766590389015;0.14913745130773512
blocking probabilities per pair;1;all;22;17; ;0.0;0.0;0.0;0.0015756302521008404;0.0;5.461496450027307E-4;5.382131324004305E-4;5.633802816901409E-4;0.0;0.0
blocking probabilities per pair;1;all;13;4; ;0.18288770053475936;0.20885729907053036;0.1844170403587444;0.17843026538678713;0.17672648178357803;0.1773049645390071;0.19028797289666854;0.18957088538837588;0.19837837837837838;0.17653694303440495
blocking probabilities per pair;1;all;11;12; ;0.010005558643690939;0.009950248756218905;0.016319639842431063;0.01007423117709438;0.005443658138268917;0.004451864218141347;0.01327433628318584;0.007588075880758808;0.010844748858447488;0.009402654867256638
blocking probabilities per pair;1;all;1;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;10;21; ;0.08230683090705487;0.08810810810810811;0.08432432432432432;0.0940649496080627;0.09470304975922954;0.10104914411927111;0.08544125913434514;0.0900604063701263;0.08790593505039193;0.0914702581369248
blocking probabilities per pair;1;all;19;16; ;0.008310249307479225;0.007688083470620538;0.007650273224043716;0.008214676889375685;0.005564830272676683;0.013127853881278538;0.008681497558328812;0.0064;0.007000538502961767;0.005515719801434087
blocking probabilities per pair;1;all;8;16; ;0.18643132928847214;0.1710016602102933;0.18993781797625778;0.20814732142857142;0.20466883821932683;0.17498565691336776;0.2015900056785917;0.18538420204191294;0.20423280423280424;0.1943155452436195
blocking probabilities per pair;1;all;8;21; ;0.12441436751691827;0.09887640449438202;0.11042944785276074;0.10846707249584947;0.10517529215358931;0.11687602403058438;0.11070496083550914;0.09703075291622482;0.1080316742081448;0.10929577464788733
blocking probabilities per pair;1;all;7;12; ;0.11880046136101499;0.12898089171974522;0.13112947658402205;0.12769580022701477;0.12960893854748604;0.12039045553145336;0.1276480173818577;0.1319102353585112;0.13537117903930132;0.13445835601524225
blocking probabilities per pair;1;all;7;8; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;7;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;14;5; ;0.026622296173044926;0.028021978021978023;0.03414634146341464;0.026259378349410504;0.024717893605588393;0.030560271646859084;0.027888446215139442;0.03123287671232877;0.027960526315789474;0.021205357142857144
blocking probabilities per pair;1;all;11;2; ;0.001075268817204301;0.001098901098901099;5.567928730512249E-4;0.001644736842105263;0.0010683760683760685;5.506607929515419E-4;0.0011043622308117063;0.0;0.0;0.002224694104560623
blocking probabilities per pair;1;all;21;3; ;0.3709050527484731;0.3651933701657459;0.378839590443686;0.3728540772532189;0.36717892425905596;0.3919736118746564;0.390625;0.3868131868131868;0.3960674157303371;0.3819910514541387
